0,1,2,3
534.0,3305.0,331.0,573.0
442.0,1353.0,296.0,310.0
335.0,1079.0,209.0,221.0
326.0,704.0,181.0,205.0
302.0,554.0,172.0,104.0
277.0,543.0,169.0,99.0
265.0,462.0,137.0,69.0
264.0,424.0,116.0,66.0
261.0,423.0,114.0,66.0
242.0,365.0,109.0,64.0
227.0,343.0,108.0,61.0
222.0,270.0,93.0,59.0
216.0,268.0,91.0,59.0
207.0,243.0,83.0,58.0
206.0,222.0,79.0,56.0
197.0,220.0,74.0,55.0
185.0,210.0,72.0,53.0
172.0,155.0,71.0,49.0
171.0,154.0,69.0,47.0
161.0,154.0,64.0,44.0
159.0,147.0,63.0,40.0
151.0,144.0,62.0,40.0
143.0,129.0,61.0,40.0
134.0,120.0,61.0,39.0
129.0,115.0,60.0,38.0
129.0,115.0,57.0,35.0
120.0,113.0,53.0,35.0
116.0,110.0,52.0,33.0
112.0,108.0,50.0,32.0
108.0,107.0,48.0,32.0
105.0,105.0,48.0,32.0
105.0,95.0,48.0,31.0
105.0,95.0,47.0,31.0
101.0,89.0,41.0,28.0
97.0,88.0,38.0,28.0
96.0,87.0,37.0,27.0
96.0,83.0,37.0,26.0
88.0,82.0,37.0,26.0
88.0,81.0,37.0,25.0
87.0,78.0,36.0,25.0
87.0,78.0,36.0,25.0
86.0,78.0,36.0,25.0
81.0,76.0,36.0,24.0
80.0,73.0,35.0,24.0
79.0,71.0,35.0,24.0
79.0,70.0,34.0,24.0
77.0,69.0,34.0,24.0
76.0,69.0,33.0,22.0
68.0,68.0,32.0,22.0
68.0,68.0,32.0,22.0
67.0,66.0,32.0,22.0
67.0,64.0,32.0,21.0
66.0,59.0,32.0,19.0
65.0,58.0,32.0,18.0
64.0,55.0,31.0,18.0
64.0,54.0,29.0,18.0
64.0,53.0,29.0,18.0
64.0,53.0,29.0,18.0
63.0,53.0,29.0,18.0
63.0,51.0,28.0,17.0
62.0,51.0,28.0,17.0
61.0,49.0,27.0,17.0
61.0,47.0,27.0,17.0
60.0,47.0,27.0,17.0
60.0,47.0,27.0,17.0
58.0,46.0,26.0,17.0
56.0,46.0,26.0,17.0
56.0,46.0,26.0,16.0
56.0,46.0,25.0,16.0
56.0,45.0,25.0,16.0
55.0,44.0,25.0,16.0
54.0,43.0,24.0,16.0
54.0,42.0,24.0,15.0
53.0,42.0,24.0,15.0
52.0,41.0,23.0,15.0
52.0,40.0,23.0,15.0
51.0,40.0,23.0,15.0
