0,1,2,3,4,5,6,7,8,9
114.0,279.0,501.0,149.0,140.0,1393.0,152.0,304.0,428.0,152.0
89.0,117.0,205.0,127.0,138.0,229.0,135.0,267.0,170.0,85.0
61.0,113.0,71.0,59.0,119.0,215.0,57.0,234.0,110.0,80.0
52.0,74.0,67.0,58.0,95.0,213.0,50.0,168.0,95.0,77.0
27.0,59.0,65.0,46.0,60.0,106.0,46.0,129.0,89.0,52.0
25.0,47.0,60.0,37.0,52.0,103.0,42.0,125.0,72.0,47.0
22.0,38.0,59.0,37.0,46.0,89.0,19.0,44.0,58.0,46.0
21.0,37.0,55.0,32.0,39.0,83.0,18.0,33.0,49.0,36.0
19.0,31.0,53.0,32.0,34.0,77.0,16.0,31.0,49.0,35.0
18.0,30.0,50.0,32.0,32.0,76.0,13.0,26.0,48.0,34.0
18.0,25.0,38.0,31.0,31.0,76.0,11.0,25.0,47.0,30.0
17.0,25.0,37.0,31.0,30.0,76.0,11.0,25.0,46.0,26.0
15.0,24.0,30.0,30.0,29.0,73.0,10.0,25.0,42.0,25.0
14.0,24.0,24.0,30.0,29.0,68.0,10.0,22.0,39.0,21.0
13.0,23.0,24.0,28.0,28.0,63.0,10.0,22.0,32.0,21.0
12.0,23.0,24.0,27.0,26.0,58.0,9.0,20.0,31.0,19.0
12.0,22.0,23.0,27.0,25.0,47.0,,20.0,30.0,18.0
12.0,21.0,23.0,25.0,25.0,45.0,,18.0,28.0,16.0
11.0,19.0,22.0,25.0,24.0,38.0,,18.0,27.0,16.0
11.0,18.0,21.0,25.0,23.0,38.0,,18.0,27.0,15.0
11.0,18.0,21.0,23.0,19.0,38.0,,18.0,25.0,14.0
11.0,16.0,21.0,23.0,18.0,38.0,,17.0,23.0,13.0
11.0,16.0,20.0,22.0,18.0,36.0,,17.0,23.0,13.0
11.0,15.0,20.0,22.0,18.0,35.0,,17.0,22.0,13.0
10.0,14.0,19.0,20.0,17.0,32.0,,17.0,21.0,13.0
10.0,14.0,19.0,20.0,17.0,30.0,,16.0,20.0,11.0
10.0,14.0,18.0,20.0,17.0,30.0,,15.0,19.0,11.0
9.0,14.0,18.0,19.0,17.0,30.0,,15.0,19.0,11.0
9.0,13.0,17.0,18.0,16.0,25.0,,15.0,19.0,11.0
9.0,13.0,17.0,18.0,15.0,23.0,,14.0,18.0,10.0
9.0,12.0,16.0,18.0,15.0,23.0,,13.0,17.0,10.0
,12.0,16.0,17.0,15.0,23.0,,13.0,17.0,10.0
,12.0,16.0,17.0,15.0,22.0,,13.0,16.0,9.0
,12.0,16.0,17.0,14.0,22.0,,13.0,16.0,9.0
,11.0,15.0,17.0,13.0,22.0,,13.0,16.0,9.0
,11.0,14.0,16.0,13.0,21.0,,13.0,16.0,9.0
,10.0,14.0,16.0,13.0,21.0,,11.0,16.0,
,10.0,14.0,15.0,13.0,19.0,,10.0,16.0,
,10.0,14.0,15.0,13.0,19.0,,10.0,15.0,
,9.0,14.0,15.0,12.0,19.0,,10.0,15.0,
,9.0,13.0,15.0,12.0,18.0,,10.0,15.0,
,9.0,13.0,14.0,12.0,18.0,,10.0,15.0,
,9.0,12.0,14.0,11.0,18.0,,10.0,14.0,
,9.0,12.0,14.0,11.0,18.0,,9.0,14.0,
,9.0,12.0,14.0,11.0,18.0,,9.0,14.0,
,,12.0,13.0,11.0,17.0,,9.0,13.0,
,,12.0,13.0,10.0,17.0,,9.0,13.0,
,,12.0,13.0,10.0,17.0,,9.0,12.0,
,,12.0,13.0,10.0,16.0,,9.0,12.0,
,,12.0,13.0,9.0,16.0,,9.0,12.0,
,,11.0,12.0,9.0,16.0,,9.0,11.0,
,,11.0,12.0,9.0,16.0,,,11.0,
,,11.0,12.0,9.0,16.0,,,11.0,
,,10.0,11.0,9.0,16.0,,,10.0,
,,10.0,11.0,9.0,15.0,,,10.0,
,,10.0,11.0,9.0,15.0,,,10.0,
,,10.0,11.0,9.0,15.0,,,10.0,
,,10.0,11.0,9.0,15.0,,,9.0,
,,9.0,11.0,9.0,15.0,,,9.0,
,,9.0,11.0,9.0,15.0,,,9.0,
,,9.0,10.0,,14.0,,,9.0,
,,9.0,10.0,,14.0,,,9.0,
,,9.0,10.0,,14.0,,,9.0,
,,9.0,10.0,,13.0,,,9.0,
,,9.0,9.0,,13.0,,,9.0,
,,9.0,9.0,,13.0,,,9.0,
,,,9.0,,13.0,,,9.0,
,,,9.0,,12.0,,,9.0,
,,,9.0,,12.0,,,,
,,,9.0,,12.0,,,,
,,,9.0,,12.0,,,,
,,,9.0,,12.0,,,,
,,,9.0,,11.0,,,,
,,,,,11.0,,,,
,,,,,11.0,,,,
,,,,,11.0,,,,
,,,,,11.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,10.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
,,,,,9.0,,,,
