0,1,2,3
657.0,55.0,357.0,100.0
223.0,47.0,191.0,62.0
167.0,34.0,130.0,61.0
147.0,33.0,93.0,59.0
145.0,30.0,77.0,48.0
136.0,30.0,75.0,42.0
121.0,24.0,67.0,25.0
117.0,20.0,65.0,25.0
73.0,19.0,61.0,20.0
67.0,18.0,60.0,14.0
54.0,16.0,59.0,14.0
52.0,16.0,58.0,14.0
51.0,15.0,53.0,14.0
43.0,15.0,49.0,13.0
39.0,14.0,49.0,13.0
38.0,13.0,43.0,12.0
38.0,13.0,41.0,12.0
38.0,12.0,41.0,12.0
36.0,12.0,39.0,11.0
36.0,12.0,37.0,10.0
34.0,11.0,37.0,10.0
32.0,11.0,32.0,10.0
32.0,10.0,32.0,10.0
32.0,10.0,31.0,10.0
31.0,10.0,29.0,10.0
30.0,10.0,27.0,9.0
29.0,9.0,25.0,9.0
28.0,9.0,25.0,9.0
27.0,9.0,25.0,9.0
27.0,9.0,24.0,8.0
26.0,9.0,24.0,8.0
26.0,9.0,24.0,8.0
25.0,8.0,22.0,8.0
24.0,8.0,22.0,
24.0,8.0,21.0,
23.0,,21.0,
23.0,,20.0,
22.0,,20.0,
21.0,,19.0,
21.0,,18.0,
20.0,,18.0,
20.0,,18.0,
20.0,,18.0,
19.0,,18.0,
19.0,,17.0,
18.0,,17.0,
18.0,,17.0,
18.0,,17.0,
18.0,,17.0,
17.0,,17.0,
17.0,,16.0,
17.0,,16.0,
17.0,,16.0,
16.0,,16.0,
16.0,,16.0,
16.0,,15.0,
16.0,,15.0,
16.0,,15.0,
15.0,,14.0,
15.0,,14.0,
15.0,,14.0,
14.0,,14.0,
14.0,,14.0,
14.0,,14.0,
14.0,,14.0,
14.0,,13.0,
13.0,,13.0,
13.0,,13.0,
13.0,,13.0,
13.0,,13.0,
13.0,,13.0,
13.0,,12.0,
12.0,,12.0,
12.0,,12.0,
12.0,,12.0,
12.0,,12.0,
12.0,,12.0,
12.0,,12.0,
12.0,,11.0,
12.0,,11.0,
12.0,,11.0,
12.0,,10.0,
12.0,,10.0,
12.0,,10.0,
11.0,,10.0,
11.0,,10.0,
11.0,,10.0,
11.0,,10.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,9.0,
10.0,,8.0,
10.0,,8.0,
10.0,,8.0,
10.0,,8.0,
9.0,,8.0,
9.0,,8.0,
9.0,,8.0,
9.0,,8.0,
9.0,,8.0,
9.0,,8.0,
9.0,,,
9.0,,,
9.0,,,
9.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
8.0,,,
