0,1,2,3,4,5,6,7,8,9
186.0,678.0,273.0,196.0,172.0,298.0,460.0,72.0,1896.0,417.0
149.0,162.0,219.0,175.0,87.0,254.0,338.0,47.0,302.0,373.0
102.0,97.0,114.0,77.0,74.0,206.0,181.0,45.0,233.0,177.0
86.0,95.0,107.0,74.0,53.0,116.0,179.0,40.0,222.0,135.0
54.0,88.0,98.0,68.0,44.0,83.0,168.0,39.0,175.0,123.0
31.0,84.0,93.0,60.0,41.0,78.0,136.0,34.0,156.0,86.0
30.0,76.0,89.0,58.0,32.0,77.0,136.0,34.0,126.0,53.0
27.0,72.0,76.0,56.0,31.0,68.0,112.0,32.0,107.0,52.0
26.0,52.0,73.0,54.0,29.0,65.0,111.0,31.0,105.0,50.0
23.0,46.0,69.0,31.0,27.0,52.0,99.0,31.0,80.0,43.0
23.0,44.0,59.0,28.0,27.0,47.0,84.0,30.0,69.0,40.0
23.0,43.0,57.0,21.0,25.0,45.0,78.0,30.0,46.0,38.0
21.0,37.0,52.0,21.0,23.0,42.0,69.0,29.0,42.0,32.0
20.0,35.0,52.0,18.0,23.0,41.0,68.0,28.0,39.0,30.0
20.0,29.0,47.0,15.0,22.0,38.0,63.0,27.0,39.0,27.0
20.0,29.0,46.0,14.0,19.0,38.0,62.0,25.0,36.0,27.0
19.0,28.0,45.0,13.0,18.0,36.0,60.0,24.0,36.0,25.0
18.0,24.0,44.0,12.0,18.0,33.0,50.0,24.0,34.0,23.0
17.0,24.0,41.0,11.0,18.0,32.0,49.0,23.0,34.0,23.0
17.0,24.0,40.0,11.0,16.0,30.0,46.0,22.0,33.0,22.0
16.0,24.0,38.0,11.0,16.0,30.0,43.0,21.0,33.0,21.0
16.0,24.0,35.0,10.0,15.0,28.0,43.0,21.0,29.0,21.0
16.0,23.0,33.0,10.0,15.0,27.0,37.0,18.0,29.0,21.0
16.0,21.0,32.0,9.0,14.0,24.0,37.0,18.0,29.0,21.0
15.0,21.0,32.0,9.0,14.0,23.0,36.0,17.0,28.0,20.0
14.0,21.0,31.0,,14.0,21.0,36.0,16.0,27.0,20.0
13.0,21.0,30.0,,13.0,21.0,35.0,16.0,24.0,20.0
