0,1,2,3,4
279.0,1393.0,501.0,215.0,267.0
170.0,428.0,304.0,168.0,234.0
152.0,213.0,205.0,125.0,229.0
138.0,149.0,152.0,95.0,129.0
119.0,140.0,106.0,89.0,113.0
117.0,135.0,103.0,77.0,95.0
89.0,127.0,83.0,68.0,76.0
85.0,114.0,80.0,63.0,76.0
71.0,110.0,77.0,37.0,76.0
65.0,89.0,73.0,36.0,74.0
60.0,72.0,67.0,32.0,59.0
59.0,61.0,60.0,31.0,58.0
52.0,58.0,59.0,31.0,58.0
52.0,57.0,55.0,30.0,49.0
48.0,52.0,53.0,30.0,49.0
42.0,50.0,50.0,29.0,47.0
39.0,47.0,47.0,27.0,44.0
37.0,47.0,46.0,26.0,38.0
32.0,46.0,45.0,26.0,38.0
31.0,46.0,39.0,25.0,35.0
31.0,46.0,38.0,25.0,33.0
30.0,46.0,38.0,22.0,32.0
28.0,42.0,36.0,22.0,31.0
28.0,38.0,35.0,21.0,30.0
27.0,38.0,34.0,21.0,30.0
27.0,37.0,34.0,20.0,30.0
25.0,37.0,30.0,20.0,27.0
25.0,32.0,30.0,19.0,25.0
25.0,32.0,29.0,19.0,25.0
25.0,32.0,26.0,18.0,25.0
24.0,31.0,25.0,18.0,25.0
22.0,30.0,24.0,18.0,24.0
22.0,30.0,24.0,18.0,24.0
22.0,28.0,24.0,17.0,23.0
21.0,27.0,23.0,17.0,23.0
21.0,25.0,23.0,17.0,23.0
21.0,25.0,22.0,17.0,23.0
21.0,25.0,21.0,16.0,23.0
21.0,23.0,20.0,16.0,22.0
19.0,23.0,19.0,15.0,22.0
19.0,23.0,18.0,15.0,21.0
19.0,23.0,18.0,15.0,21.0
19.0,23.0,18.0,15.0,20.0
18.0,22.0,18.0,15.0,19.0
18.0,22.0,18.0,14.0,19.0
17.0,22.0,17.0,14.0,19.0
17.0,20.0,17.0,14.0,18.0
17.0,20.0,17.0,13.0,18.0
16.0,20.0,17.0,13.0,18.0
16.0,20.0,16.0,12.0,18.0
16.0,19.0,16.0,12.0,18.0
16.0,19.0,16.0,12.0,18.0
16.0,19.0,16.0,12.0,17.0
16.0,19.0,16.0,12.0,17.0
16.0,18.0,16.0,12.0,17.0
15.0,18.0,15.0,12.0,17.0
15.0,18.0,15.0,12.0,17.0
15.0,18.0,14.0,11.0,16.0
15.0,18.0,14.0,11.0,16.0
15.0,18.0,13.0,11.0,16.0
14.0,18.0,13.0,11.0,16.0
14.0,17.0,13.0,11.0,16.0
14.0,17.0,13.0,11.0,15.0
14.0,17.0,13.0,10.0,15.0
14.0,17.0,13.0,10.0,15.0
14.0,16.0,13.0,10.0,15.0
13.0,16.0,12.0,10.0,15.0
13.0,16.0,12.0,9.0,15.0
13.0,16.0,12.0,9.0,14.0
13.0,16.0,12.0,9.0,14.0
13.0,15.0,12.0,9.0,14.0
13.0,15.0,12.0,9.0,14.0
13.0,15.0,12.0,9.0,14.0
12.0,15.0,11.0,9.0,13.0
12.0,15.0,11.0,9.0,13.0
12.0,15.0,11.0,9.0,13.0
11.0,15.0,11.0,,13.0
11.0,14.0,10.0,,13.0
11.0,14.0,10.0,,13.0
11.0,14.0,10.0,,13.0
11.0,14.0,10.0,,12.0
11.0,14.0,10.0,,12.0
11.0,14.0,10.0,,11.0
11.0,14.0,10.0,,11.0
11.0,13.0,10.0,,11.0
11.0,13.0,10.0,,10.0
10.0,13.0,10.0,,10.0
10.0,13.0,9.0,,10.0
10.0,13.0,9.0,,10.0
10.0,13.0,9.0,,10.0
10.0,13.0,9.0,,10.0
10.0,13.0,9.0,,10.0
10.0,13.0,9.0,,10.0
9.0,12.0,9.0,,10.0
9.0,12.0,9.0,,10.0
9.0,12.0,9.0,,10.0
9.0,12.0,9.0,,10.0
9.0,12.0,9.0,,9.0
9.0,12.0,9.0,,9.0
9.0,12.0,9.0,,9.0
9.0,12.0,9.0,,9.0
9.0,12.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
9.0,11.0,,,9.0
,11.0,,,9.0
,11.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,10.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
,9.0,,,
