0,1,2,3,4,5,6,7,8,9,10
22.0,,13.0,23.0,13.0,19.0,11.0,20.0,12.0,13.0,
21.0,,13.0,23.0,13.0,19.0,11.0,20.0,12.0,13.0,
21.0,,13.0,23.0,12.0,18.0,11.0,20.0,12.0,13.0,
21.0,,13.0,23.0,12.0,18.0,11.0,20.0,12.0,12.0,
21.0,,13.0,23.0,12.0,18.0,11.0,20.0,12.0,12.0,
21.0,,13.0,22.0,12.0,18.0,11.0,19.0,12.0,12.0,
20.0,,13.0,22.0,12.0,17.0,11.0,19.0,12.0,12.0,
20.0,,13.0,22.0,12.0,17.0,10.0,19.0,12.0,12.0,
20.0,,13.0,21.0,12.0,17.0,10.0,19.0,11.0,12.0,
20.0,,13.0,21.0,11.0,17.0,10.0,19.0,11.0,12.0,
20.0,,13.0,21.0,11.0,17.0,10.0,18.0,11.0,12.0,
19.0,,12.0,21.0,11.0,16.0,10.0,18.0,11.0,12.0,
19.0,,12.0,21.0,11.0,16.0,10.0,18.0,11.0,12.0,
19.0,,12.0,21.0,11.0,16.0,10.0,18.0,11.0,11.0,
19.0,,12.0,20.0,11.0,16.0,10.0,18.0,11.0,11.0,
19.0,,12.0,20.0,11.0,16.0,10.0,18.0,11.0,11.0,
18.0,,12.0,20.0,11.0,16.0,10.0,18.0,11.0,11.0,
18.0,,12.0,20.0,11.0,16.0,,18.0,11.0,11.0,
18.0,,11.0,20.0,11.0,16.0,,18.0,11.0,11.0,
18.0,,11.0,20.0,10.0,15.0,,17.0,10.0,11.0,
18.0,,11.0,19.0,10.0,15.0,,17.0,10.0,10.0,
18.0,,11.0,19.0,10.0,15.0,,17.0,10.0,10.0,
17.0,,11.0,19.0,10.0,15.0,,17.0,10.0,10.0,
17.0,,11.0,19.0,10.0,15.0,,17.0,10.0,10.0,
17.0,,11.0,19.0,10.0,15.0,,17.0,10.0,10.0,
17.0,,11.0,19.0,10.0,15.0,,17.0,10.0,10.0,
17.0,,11.0,19.0,10.0,15.0,,17.0,10.0,10.0,
17.0,,11.0,18.0,,15.0,,17.0,10.0,10.0,
16.0,,11.0,18.0,,15.0,,16.0,,10.0,
16.0,,10.0,18.0,,14.0,,16.0,,,
16.0,,10.0,18.0,,14.0,,16.0,,,
16.0,,10.0,17.0,,14.0,,16.0,,,
16.0,,10.0,17.0,,14.0,,16.0,,,
16.0,,10.0,17.0,,14.0,,15.0,,,
16.0,,10.0,17.0,,14.0,,15.0,,,
16.0,,10.0,17.0,,14.0,,15.0,,,
16.0,,10.0,17.0,,14.0,,15.0,,,
16.0,,,17.0,,14.0,,15.0,,,
15.0,,,16.0,,14.0,,15.0,,,
15.0,,,16.0,,14.0,,14.0,,,
15.0,,,16.0,,14.0,,14.0,,,
15.0,,,16.0,,14.0,,14.0,,,
15.0,,,16.0,,14.0,,14.0,,,
15.0,,,16.0,,13.0,,14.0,,,
15.0,,,16.0,,13.0,,14.0,,,
15.0,,,16.0,,13.0,,14.0,,,
15.0,,,15.0,,13.0,,14.0,,,
14.0,,,15.0,,13.0,,14.0,,,
14.0,,,15.0,,13.0,,14.0,,,
14.0,,,15.0,,13.0,,14.0,,,
14.0,,,15.0,,13.0,,14.0,,,
14.0,,,15.0,,13.0,,13.0,,,
14.0,,,15.0,,13.0,,13.0,,,
14.0,,,15.0,,13.0,,13.0,,,
14.0,,,15.0,,13.0,,13.0,,,
14.0,,,15.0,,13.0,,13.0,,,
14.0,,,15.0,,13.0,,13.0,,,
14.0,,,14.0,,12.0,,13.0,,,
13.0,,,14.0,,12.0,,13.0,,,
13.0,,,14.0,,12.0,,13.0,,,
13.0,,,14.0,,12.0,,13.0,,,
13.0,,,13.0,,12.0,,13.0,,,
13.0,,,13.0,,12.0,,13.0,,,
13.0,,,13.0,,12.0,,13.0,,,
13.0,,,13.0,,12.0,,12.0,,,
12.0,,,13.0,,12.0,,12.0,,,
12.0,,,13.0,,12.0,,12.0,,,
12.0,,,13.0,,12.0,,12.0,,,
12.0,,,13.0,,12.0,,12.0,,,
12.0,,,13.0,,11.0,,12.0,,,
12.0,,,12.0,,11.0,,12.0,,,
12.0,,,12.0,,11.0,,12.0,,,
12.0,,,12.0,,11.0,,12.0,,,
12.0,,,12.0,,11.0,,12.0,,,
12.0,,,12.0,,11.0,,12.0,,,
12.0,,,12.0,,11.0,,12.0,,,
12.0,,,12.0,,11.0,,11.0,,,
12.0,,,12.0,,11.0,,11.0,,,
12.0,,,12.0,,11.0,,11.0,,,
12.0,,,12.0,,11.0,,11.0,,,
12.0,,,12.0,,11.0,,11.0,,,
12.0,,,12.0,,10.0,,11.0,,,
12.0,,,12.0,,10.0,,11.0,,,
11.0,,,12.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,11.0,,,
11.0,,,11.0,,10.0,,10.0,,,
11.0,,,11.0,,10.0,,10.0,,,
11.0,,,11.0,,10.0,,10.0,,,
11.0,,,11.0,,10.0,,10.0,,,
11.0,,,11.0,,10.0,,10.0,,,
11.0,,,11.0,,,,10.0,,,
10.0,,,11.0,,,,10.0,,,
10.0,,,11.0,,,,10.0,,,
10.0,,,11.0,,,,10.0,,,
10.0,,,11.0,,,,10.0,,,
10.0,,,11.0,,,,10.0,,,
10.0,,,11.0,,,,10.0,,,
10.0,,,11.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,10.0,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
10.0,,,10.0,,,,,,,
,,,10.0,,,,,,,
,,,10.0,,,,,,,
,,,10.0,,,,,,,
,,,10.0,,,,,,,
,,,10.0,,,,,,,
,,,10.0,,,,,,,
,,,10.0,,,,,,,
,,,10.0,,,,,,,
