cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7
0,0,0.9873680495160182,1,0.9766630738921184,2,0.8550236504880301,3,0.58243445562756,4,0.8158752580044644,5,0.6675769991216347,6,0.6234435516280529,7,0.9278928655440873
1,0,0.7904642412172709,1,0.7198740966797602,2,0.9393130205909185,3,0.964419952796002,4,0.9609625496375176,5,0.8054338892604099,6,0.6104660135078651,7,0.8817819877345076
2,0,0.8178481628953372,1,0.8542608840591768,2,0.9914277645735426,3,0.8020306686618428,4,0.8799304959607639,5,0.6147716036116551,6,0.8283609614137255,7,0.8360903699735392
3,0,0.8669555639703367,1,0.7204175643594931,2,0.8550970899825013,3,0.8618486935229706,4,0.9812093802759698,5,0.9461003807111363,6,0.4427605353546168,7,0.9621227431464967
4,0,0.9750720481509944,1,0.9195126194196608,2,0.9386645737929216,3,0.7556382056487051,4,0.9326323819253854,5,0.7690666773847428,6,0.6342569548193453,7,0.9812709359388344
