cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,0.8451424293752138,1,0.7875382344252433,2,0.5925538847827322,3,0.9085409724410379,4,0.7360499757769413,5,0.9159162255177775,6,0.99226167446178,7,0.8725923280433225,8,0.6823286299669817,9,0.8482107710230493
1,0,0.8040598491930567,1,0.7655580261327358,2,0.9954830939354602,3,0.5604009629595875,4,0.9335429364632681,5,0.803428212036072,6,0.6093906969115389,7,0.8810175406842441,8,0.4943036862658047,9,0.2278844718051044
2,0,0.5974257033373382,1,0.9795444179322549,2,0.6399428557897291,3,0.9324011652640476,4,0.8631818433487858,5,0.9198359790954966,6,0.7575383552354104,7,0.7698906173363173,8,0.9708931497927483,9,0.653757557963475
3,0,0.952085327314534,1,0.8073839102518773,2,0.7847534084981564,3,0.8344024726270222,4,0.851998524673927,5,0.9444219361854341,6,0.9561746469540693,7,0.9772693968222332,8,0.6155946395475214,9,0.6936755430918464
4,0,0.8225847241908,1,0.9351571934269026,2,0.7378371855136695,3,0.9503053212969598,4,0.8978280937265064,5,0.9912077277869281,6,0.9345919699557415,7,0.9224132013778288,8,0.8163364634049006,9,0.736132492485666
5,0,0.8253597248058617,1,0.9535197447558955,2,0.8885941186038302,3,0.8436178258534598,4,0.9871359899520696,5,0.9732272864111524,6,0.814150807662078,7,0.9530669223323929,8,0.783662917256515,9,0.5422435622681128
6,0,0.9605010477954161,1,0.535742814562953,2,0.7778375787121488,3,0.5542562617924606,4,0.6914779613976455,5,0.7268963810323279,6,0.7547244838880909,7,0.8714667185195796,8,0.26690775856290205,9,0.5338476387827304
7,0,0.6530081631423381,1,0.9744079676358576,2,0.8386945597628699,3,0.8078089990041482,4,0.9738883598213388,5,0.9143498559318552,6,0.6801152106259883,7,0.8434666330046987,8,0.8530889798628314,9,0.43812621895978765
8,0,0.9582647182305593,1,0.8058589514007717,2,0.9168555220591135,3,0.7328110962160933,4,0.9188922958684688,5,0.9166997688241819,6,0.839895881529867,7,0.9935295339197955,8,0.5612729854413374,9,0.5332715324511387
9,0,0.6781835536493573,1,0.8994421701093808,2,0.5510166364010053,3,0.9956982625085489,4,0.7785790501369928,5,0.9247003135389699,6,0.8890261096689984,7,0.7851814297142556,8,0.8695573369927136,9,0.8142152719278646
