cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,0.9879810371956197,1,0.6727393959319645,2,0.7851462463253176,3,0.9822330669744085,4,0.9536408385776871,5,0.8649595293396756,6,0.7855007697974221,7,0.7386488769893835,8,0.8893547868025719,9,0.883899930290101
1,0,0.8707994891963664,1,0.8202337966584633,2,0.9318701066797836,3,0.9131016715213118,4,0.977540549371513,5,0.986922239324185,6,0.6955037961875477,7,0.9530043098759924,8,0.9089615126238063,9,0.9003562507832489
2,0,0.8738965691161308,1,0.8451122681719574,2,0.7434730279461081,3,0.9798590291048473,4,0.9055750382178714,5,0.9278290831844485,6,0.8980687386101196,7,0.796180742202558,8,0.9892647623946607,9,0.7672140894754994
3,0,0.714592087102548,1,0.9750393659444938,2,0.7573804821438197,3,0.8733155554363659,4,0.848149096081433,5,0.9609830247939706,6,0.8029840978840888,7,0.9014765670329422,8,0.9662204332558018,9,0.6907121922652104
4,0,0.8619314381983757,1,0.6337403738877196,2,0.9764190822612908,3,0.8138395813317908,4,0.9464608068869453,5,0.8888233195572685,6,0.516315372923788,7,0.8951169484835173,8,0.7467957647818262,9,0.9725020236090415
5,0,0.7145363808339249,1,0.804683740846193,2,0.9483796577008647,3,0.7692355040859211,4,0.8936554124496409,5,0.9507057663690197,6,0.5161423347176971,7,0.9934586328523191,8,0.7981017766774112,9,0.8351519663535552
6,0,0.6517711058971922,1,0.6829213237201829,2,0.4532350278281234,3,0.7754130084352658,4,0.642356044138541,5,0.6665385569330472,6,0.9680198703252997,7,0.4908148380895605,8,0.8335465725221445,9,0.4957317391527336
