cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,0.9962796810511393,1,0.7531576301964824,2,0.913190726751667,3,0.7159669242482845,4,0.5287441302342879,5,0.7309083572678832,6,0.8539549948890637,7,0.9389457447495984,8,0.8833839324156264,9,0.7161203462946851
1,0,0.5972298290675976,1,0.634094295713725,2,0.6602913197274686,3,0.8058489136490604,4,0.9944629665661884,5,0.9381295267172063,6,0.8944295052455927,7,0.7426183106937215,8,0.8356550244285517,9,0.8150413653252611
2,0,0.7988989142970999,1,0.9957026233815492,2,0.9516942384306539,3,0.5159843921113901,4,0.589891519992131,5,0.8558142164245588,6,0.776432071863389,7,0.6870670292260986,8,0.9097007916028252,9,0.9458141054226538
3,0,0.9494454329110021,1,0.7240727960816289,2,0.8747908675226395,3,0.8615036348992021,4,0.7416688262593516,5,0.8508646549328399,6,0.969335990843082,7,0.9914537455142248,8,0.9373015175698893,9,0.7722314528657497
4,0,0.9530374081319506,1,0.889951689142225,2,0.9799058368915033,3,0.7186976549569004,4,0.6843279937254388,5,0.8933761592534176,6,0.9162343415998794,7,0.9007190363058205,8,0.976249674401472,9,0.894959311792965
5,0,0.8323639558443634,1,0.8775589193524329,2,0.9079928141305198,3,0.769938813023707,4,0.8553151978834018,5,0.985344408013003,6,0.9602115813454271,7,0.8563518045442224,8,0.9885982496074258,9,0.9555723054072267
6,0,0.7397810672653462,1,0.4136164674298831,2,0.6026368412833758,3,0.9901429240567017,4,0.7586496664634086,5,0.7098451530711338,6,0.8630468940807966,7,0.8718800118612835,8,0.7253143051175904,9,0.5292674307715007
7,0,0.7153544256694905,1,0.924185379214717,2,0.8759213632248798,3,0.6075389315167913,4,0.8031622179249313,5,0.971077586399732,6,0.8549284066644114,7,0.698615372107896,8,0.9354788373290788,9,0.9968745648229703
8,0,0.8356896597075002,1,0.6909795067094544,2,0.8017411288462937,3,0.9264355746520327,4,0.8919115815793027,5,0.9233808575095612,6,0.9952162892464061,7,0.9397468875106646,8,0.9323241066940029,9,0.8072175342338825
9,0,0.9151954574488927,1,0.9029586628495535,2,0.9879564223788108,3,0.5462507758679028,4,0.49257648455954417,5,0.7701880309133065,6,0.7760170886879699,7,0.7878881324504011,8,0.8872776942116145,9,0.8322024944199847
