cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7
0,0,0.8178481628953372,1,0.8542608840591768,2,0.9914277645735426,3,0.8020306686618428,4,0.8799304959607639,5,0.6147716036116551,6,0.8283609614137255,7,0.8360903699735392
1,0,0.9750720481509944,1,0.9195126194196608,2,0.9386645737929216,3,0.7556382056487051,4,0.9326323819253854,5,0.7690666773847428,6,0.6342569548193453,7,0.9812709359388344
2,0,0.8268251769373416,1,0.7586034224842365,2,0.9608974734353337,3,0.9345277748352804,4,0.9764879468221054,5,0.8076730227813027,6,0.6270882062366555,7,0.9090869973805907
3,0,0.8669555639703367,1,0.7204175643594931,2,0.8550970899825013,3,0.8618486935229706,4,0.9812093802759698,5,0.9461003807111363,6,0.4427605353546168,7,0.9621227431464967
4,0,0.9576070212123464,1,0.9971029979416228,2,0.8607166338244652,3,0.5623660055022922,4,0.7763479887355051,5,0.582661269935662,6,0.7084273394976575,7,0.8823146979221506
5,0,0.9871006263598184,1,0.8932477192802976,2,0.8023377043347705,3,0.5864657989922464,4,0.8405526087593045,5,0.7754122512398266,6,0.4502732034012886,7,0.9569984492770186
6,0,0.5408382713681454,1,0.4697006722559416,2,0.7306288675555586,3,0.9618722360238903,4,0.7741356148466396,5,0.6926628189153032,6,0.4642890681125309,7,0.6572355287373637
