cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9,cluster_2_10,similarity_10
0,0,0.6270490107710336,1,0.8267567223115223,2,0.9813027215131735,3,0.7602080424876748,4,0.835687982538263,5,0.9282205779076187,6,0.5086837691713082,7,0.8550326570078104,8,0.9625605195522869,9,0.7515090835711725,10,0.5914695364427034
1,0,0.996266723452794,1,0.7027110947494578,2,0.5995879931042717,3,0.9620021415531556,4,0.7764638873938359,5,0.8187824898554122,6,0.9242709952243184,7,0.9415609686180743,8,0.8129887184318515,9,0.9041941669581497,10,0.5839337209945469
2,0,0.7649988184985811,1,0.49956795598432613,2,0.8643839381662197,3,0.7018026268506695,4,0.9953284393554517,5,0.7414673601924353,6,0.48264029593700186,7,0.8853674807062292,8,0.8957768834664808,9,0.9460951323096588,10,0.2223661108435352
3,0,0.8722701625817745,1,0.8837359572129223,2,0.5785351531712513,3,0.9742050416666189,4,0.5790531452000908,5,0.8731077330035447,6,0.9601311301267058,7,0.8532321110415596,8,0.7628783794759236,9,0.7091010872525969,10,0.8237771180780814
4,0,0.940567137909469,1,0.6347611515559284,2,0.7687044392370416,3,0.8883814635035217,4,0.9365869708381717,5,0.831873315839066,6,0.7508502853271928,7,0.9762314289127151,8,0.9106988144070723,9,0.9844692915490975,10,0.41406512857379885
5,0,0.9315283327222174,1,0.8537531655431698,2,0.7804106579355943,3,0.9832361488918305,4,0.8253508789483189,5,0.9520594623525709,6,0.8637370049331133,7,0.9815757195007209,8,0.9320308317926849,9,0.8940115877263309,10,0.6876297289687328
6,0,0.7243854345003474,1,0.9810999647332939,2,0.7906465443241643,3,0.901243216617549,4,0.6517349694662685,5,0.9822179895187214,6,0.7437728559496979,7,0.8511418217737691,8,0.882978616054038,9,0.6845584988015058,10,0.8299806221207735
7,0,0.8168415413783066,1,0.8109893135839701,2,0.9195415032537259,3,0.8788008101214215,4,0.9068053823154849,5,0.9553174843402018,6,0.6670852425316249,7,0.9659435081406992,8,0.9974152680304009,9,0.8910105297887172,10,0.5747283725006717
8,0,0.9230211743668632,1,0.6239011711578105,2,0.31252273403382014,3,0.8877082129057122,4,0.50787922825725,5,0.6528432967740887,6,0.9704020226633995,7,0.7637677945184498,8,0.5763476000056835,9,0.7028869129880104,10,0.6243909317728735
9,0,0.5377255987245375,1,0.8859459574035142,2,0.4915116803833256,3,0.7460668706275622,4,0.2800182575249086,5,0.751147717688643,6,0.7302298339822894,7,0.5831108989406475,8,0.579081955248052,9,0.34495941315509404,10,0.994731811460352
