cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,7.214990368232206,1,8.150740083657777,2,11.500248723127637,3,5.35226664382435,4,9.053191790150885,5,5.123880368242787,6,1.7778104591311925,7,6.328197529634454,8,10.798018106167202,9,10.247662007226369
1,0,12.616846411652336,1,2.9707106771991576,2,11.287945370518665,3,5.469266950400565,4,7.0963360197790575,5,5.974285682665986,6,9.73927328031172,7,9.388573849206217,8,2.7492002440300336,9,14.954275625358525
2,0,9.306647012907076,1,4.016570619974758,2,10.327465372566046,3,1.8286722249941716,4,6.5198207398090045,5,3.138100399981444,6,5.642051508167441,7,6.695401872759675,8,6.585039469382123,9,12.258282515848018
3,0,4.4891624857654095,1,12.875507665706978,2,8.617810648780928,3,13.174311768414164,4,10.279329419861034,5,10.07962659543658,6,10.354080792533473,7,6.973819705943059,8,17.292996232613554,9,17.23370312196438
4,0,8.210714626048063,1,9.406328413994423,2,1.264819003575049,3,12.454599023801418,4,5.409862102800853,5,8.408464400601957,6,11.715013672196221,7,6.563311857248492,8,14.359599959830728,9,20.83697207095917
5,0,8.16365669209684,1,4.55214870317192,2,4.434380208979709,3,8.225922105901649,4,0.6042245080522914,5,4.377379803640831,6,9.023868985863981,7,4.616050800971018,8,9.765107869583616,9,17.606621537890337
6,0,4.300141754375654,1,6.847685042251935,2,5.487605977046716,3,8.161508685902028,4,4.414510673534594,5,4.028409021756938,6,6.420036964169698,7,0.6869810399730072,8,11.685906201315516,9,15.80685455343741
7,0,3.393363952764346,1,9.193080330853787,2,8.879224200405163,3,8.24598556494594,4,8.02601449340241,5,5.551466650416276,6,3.7961266377086056,7,3.7002989964117887,8,13.204655493475606,9,13.523578979899158
8,0,7.13342070875661,1,3.6473094712539873,2,6.9573784575039825,3,5.6058823452386735,4,3.430542451981918,5,1.381002185060623,6,6.002894030249374,7,3.55189229298213,8,8.46422873900424,9,14.626933876727087
9,0,11.133263796426688,1,2.5053121141262635,2,7.960092443453007,3,7.403817877818827,4,3.710010915361404,5,5.23056276047013,6,10.060090093443376,7,7.378230514958703,8,6.751026638237898,9,17.282253131637162
