cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,0.8125830590090306,1,0.9591998236920057,2,0.9485630930434311,3,0.6258004936838802,4,0.7240533149929634,5,0.9432024938492733,6,0.8654210769690508,7,0.7535521843753463,8,0.9561159913832671,9,0.985570307841115
1,0,0.8781882706647575,1,0.958764158398442,2,0.9857305061775752,3,0.534284743046041,4,0.5306786561375547,5,0.8099227465265307,6,0.7797104297449662,7,0.7524939229988792,8,0.9013245585393674,9,0.8899395555745383
2,0,0.971932050189423,1,0.7808120311202712,2,0.9157008138399457,3,0.8133394275685196,4,0.7047263628038825,5,0.8551846226021317,6,0.9541730055531816,7,0.9769784530889652,8,0.9562536238859789,9,0.8061022797853142
3,0,0.7564775181063608,1,0.4814752031402971,2,0.652159969355532,3,0.9903533426335007,4,0.8130987959205658,5,0.7732779085610874,6,0.9069327351717352,7,0.8904795989659264,8,0.7868269301600179,9,0.6003022704869388
4,0,0.8263320643964007,1,0.7361588896112679,2,0.820037239065743,3,0.8856470736110084,4,0.9078884645794886,5,0.9504393989518063,6,0.9941093225706329,7,0.9222714655141764,8,0.9531003930200077,9,0.8505774574222595
5,0,0.5341739289026773,1,0.5794069452949117,2,0.6061063195545628,3,0.7978044871340484,4,0.980108859730298,5,0.9108180502208331,6,0.8558573646293471,7,0.6869107799701412,8,0.7789555062685903,9,0.7811975912165082
6,0,0.8735544341897193,1,0.5712395877211871,2,0.7540804735439245,3,0.5126359601884138,4,0.2638397524125071,5,0.45332419521543477,6,0.5953701585409028,7,0.7647617686617729,8,0.6465191564370922,9,0.455794261952186
7,0,0.8017145994030747,1,0.8801331456084452,2,0.8940382527360935,3,0.7625325522882324,4,0.8680129696240115,5,0.9917971479606454,6,0.9462406381790486,7,0.827106365513705,8,0.9789200990143055,9,0.963372305978734
