cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,0.8516869943526855,1,0.8036568617251559,2,0.6066304461831771,3,0.9173218755427716,4,0.7522093473767744,5,0.9277676652689891,6,0.9929256973026714,7,0.8823481518824017,8,0.6975866178364003,9,0.854440628733381
1,0,0.5475140263592793,1,0.9774257666050613,2,0.6231802628439448,3,0.914293990435949,4,0.8514973155671064,5,0.8982793952776922,6,0.7229980112734136,7,0.7353923177170429,8,0.9818627592018173,9,0.6224218399250633
2,0,0.730466794964939,1,0.9468894159942904,2,0.6498020136913083,3,0.9888952509977478,4,0.8558037164869523,5,0.9674622252722846,6,0.8970628532042512,7,0.848475291378429,8,0.8873783809184873,9,0.7741966647958148
3,0,0.962346924671465,1,0.5839972541059594,2,0.8260173516141911,3,0.5614203773878356,4,0.7413002356133928,5,0.7517419108727901,6,0.7401317046854551,7,0.896495768993429,8,0.31634844130301076,9,0.5118278306601767
4,0,0.7926549485707849,1,0.7123750165204186,2,0.9948182217375627,3,0.4916836688332249,4,0.9025046484751773,5,0.7548015589897512,6,0.5608779537482006,7,0.8566432812909639,8,0.42798881704396297,9,0.17134249031118343
5,0,0.7891832944672736,1,0.9304628258122201,2,0.9343540023760625,3,0.7694358208537916,4,0.9987304145584252,5,0.9307818147419771,6,0.7299660226086422,7,0.9259209725812859,8,0.7357934876192689,9,0.4257732211724754
6,0,0.9437842518467393,1,0.8454754287668765,2,0.9011016391677193,3,0.7786442248606134,4,0.9339848539909507,5,0.9446231946679801,6,0.8665604310540723,7,0.9985807850567084,8,0.6209723815794889,9,0.5604495802677304
7,0,0.9659464666970471,1,0.7383321110123697,2,0.7565681853564042,3,0.7884165384497085,4,0.7965064678909847,5,0.904543094288845,6,0.9564479819774586,7,0.9591855527037239,8,0.5338751853078388,9,0.7020553618215182
8,0,0.8391070749172671,1,0.9555209059090899,2,0.8360641685971612,3,0.8922973107545378,4,0.9585499276794662,5,0.9935065675166638,6,0.8805235655926212,7,0.9558183867479123,8,0.8051117487194974,9,0.6376768306668323
9,0,0.6377015691066326,1,0.9825738158102827,2,0.8074344222137997,3,0.8324621594972195,4,0.9606174472178675,5,0.9188122375371777,6,0.6946954702282865,7,0.8319007947759374,8,0.881743842148814,9,0.4699586859608099
