cluster_1,cluster_2_0,similarity_0,cluster_2_1,similarity_1,cluster_2_2,similarity_2,cluster_2_3,similarity_3,cluster_2_4,similarity_4,cluster_2_5,similarity_5,cluster_2_6,similarity_6,cluster_2_7,similarity_7,cluster_2_8,similarity_8,cluster_2_9,similarity_9
0,0,0.7970927697279331,1,0.7797879179564778,2,0.9705293362977666,3,0.8270337762136717,4,0.9433959505991047,5,0.961832570720846,6,0.5860844491870019,7,0.9766889416008238,8,0.8292578908589118,9,0.8989371163379258
1,0,0.8739965017523182,1,0.5996724025879588,2,0.9678803205651588,3,0.8109787474437026,4,0.9432310909207768,5,0.8674610967472016,6,0.5141600778139972,7,0.8646433648479537,8,0.7300819030760812,9,0.9832338174786588
2,0,0.9662104667282478,1,0.7456938185428466,2,0.8139408596673496,3,0.9921110042857941,4,0.969102711994762,5,0.9170626876339075,6,0.8051407537438725,7,0.8022833499309034,8,0.9316598029733879,9,0.8797308109635809
3,0,0.736597793786,1,0.8144579367887949,2,0.5386047447992616,3,0.8791245756823802,4,0.7488415016876165,5,0.7925562013074078,6,0.9839644367422338,7,0.6244856917789368,8,0.9386915189507286,9,0.5832471360608359
4,0,0.81294090536251,1,0.9270842971178678,2,0.7651926527626137,3,0.9434310012628658,4,0.8948726498685972,5,0.9635206866982443,6,0.8479548597798398,7,0.8685381529128221,8,0.9932457101395373,9,0.744888713319629
5,0,0.5193213271157329,1,0.9845883270402374,2,0.603354236596399,3,0.7282516822095305,4,0.6892049343328156,5,0.849885886850846,6,0.7597585938905475,7,0.811979158969708,8,0.8749916880683143,9,0.5061120953617643
6,0,0.8907412890727897,1,0.31814770121956726,2,0.5902032846293532,3,0.7392018001687227,4,0.7530200660053881,5,0.5462268868914405,6,0.5532948708905129,7,0.4310802126131079,8,0.5661131767831182,9,0.7972419625313366
7,0,0.7853151582267028,1,0.903645612239632,2,0.8962873679829378,3,0.881705814254779,4,0.9302110572806767,5,0.9957552181495842,6,0.7159216772928448,7,0.9714226361445308,8,0.9282273065874225,9,0.8233995174542458
