terms,frequency
artificial neural networks,657
expert system,357
genetic algorithm,223
expert,191
distributed artificial intelligence,167
fuzzy logic,147
knowledge representation,145
machine learning,136
knowledge system,130
simulation,117
pattern recognition,100
decision support system,93
decision support,77
optimization,67
agent,67
scheduling,61
planning,59
multi agent system,53
intelligent agent,49
