terms,frequency
artificial neural networks,975
expert system,393
genetic algorithm,337
expert,225
fuzzy logic,217
machine learning,196
distributed artificial intelligence,192
knowledge representation,186
reasoning,164
simulation,159
knowledge system,150
decision support system,119
agent,111
decision support,97
knowledge,97
robotics,95
multi agent,93
optimization,90
planning,88
decision making,84
multi agent system,81
decision tree,61
ontology,59
power,15
